game_no,game_date,used_word
335,05-20-2022,gamer
334,05-19-2022,glass
333,05-18-2022,scour
332,05-17-2022,being
331,05-16-2022,delve
330,05-15-2022,yield
329,05-14-2022,metal
328,05-13-2022,tipsy
327,05-12-2022,slung
326,05-11-2022,farce
325,05-10-2022,gecko
324,05-09-2022,shine
323,05-08-2022,canny
322,05-07-2022,midst
321,05-06-2022,badge
320,05-05-2022,homer
319,05-04-2022,train
318,05-03-2022,hairy
317,05-02-2022,story
316,05-01-2022,forgo
315,04-30-2022,larva
314,04-29-2022,trash
313,04-28-2022,zesty
312,04-27-2022,shown
311,04-26-2022,heist
310,04-25-2022,askew
309,04-24-2022,inert
308,04-23-2022,olive
307,04-22-2022,plant
306,04-21-2022,oxide
305,04-20-2022,cargo
304,04-19-2022,foyer
303,04-18-2022,flair
302,04-17-2022,ample
301,04-16-2022,cheek
300,04-15-2022,shame
299,04-14-2022,mince
298,04-13-2022,chunk
297,04-12-2022,royal
296,04-11-2022,squad
295,04-10-2022,black
294,04-09-2022,stair
293,04-08-2022,scare
292,04-07-2022,foray
291,04-06-2022,comma
290,04-05-2022,natal
289,04-04-2022,shawl
288,04-03-2022,fewer
287,04-02-2022,trope
286,04-01-2022,snout
285,03-31-2022,lowly
284,03-30-2022,stove
283,03-29-2022,shall
282,03-28-2022,found
281,03-27-2022,nymph
280,03-26-2022,epoxy
279,03-25-2022,depot
278,03-24-2022,chest
277,03-23-2022,purge
276,03-22-2022,slosh
275,03-21-2022,their
274,03-20-2022,renew
273,03-19-2022,allow
272,03-18-2022,saute
271,03-17-2022,movie
270,03-16-2022,cater
269,03-15-2022,tease
268,03-14-2022,smelt
267,03-13-2022,focus
266,03-12-2022,today
265,03-11-2022,watch
264,03-10-2022,lapse
263,03-09-2022,month
262,03-08-2022,sweet
261,03-07-2022,hoard
260,03-06-2022,cloth
259,03-05-2022,brine
258,03-04-2022,ahead
257,03-03-2022,mourn
256,03-02-2022,nasty
255,03-01-2022,rupee
